ID,group,sensor,tipo_recompensa,licks,events,rel_date
620,treatment,0,wat,22,4,0
620,treatment,0,sac,1195,34,1
620,treatment,0,wat,72,8,2
620,treatment,0,sac,1665,51,3
620,treatment,0,wat,99,9,4
620,treatment,0,sac,1079,48,5
620,treatment,1,sac,529,20,0
620,treatment,1,wat,95,13,1
620,treatment,1,sac,750,28,2
620,treatment,1,wat,27,4,3
620,treatment,1,sac,1171,40,4
620,treatment,1,wat,25,4,5
621,control,0,wat,26,5,0
621,control,0,wat,9,1,1
621,control,0,wat,8,1,2
621,control,0,wat,35,4,3
621,control,0,wat,16,2,4
621,control,0,wat,30,4,5
621,control,1,wat,18,3,0
621,control,1,wat,14,2,1
621,control,1,wat,109,10,2
621,control,1,wat,273,12,3
621,control,1,wat,207,8,4
621,control,1,wat,175,5,5
622,treatment,0,sac,369,14,0
622,treatment,0,wat,22,3,1
622,treatment,0,sac,1235,49,2
622,treatment,0,wat,54,6,3
622,treatment,0,sac,876,32,4
622,treatment,0,wat,16,3,5
622,treatment,1,wat,3,0,0
622,treatment,1,sac,1418,38,1
622,treatment,1,wat,35,5,2
622,treatment,1,sac,1501,75,3
622,treatment,1,wat,33,6,4
622,treatment,1,sac,990,45,5
623,control,0,wat,148,12,0
623,control,0,wat,202,14,1
623,control,0,wat,70,10,2
623,control,0,wat,87,11,3
623,control,0,wat,29,4,4
623,control,0,wat,38,5,5
623,control,1,wat,47,6,0
623,control,1,wat,17,2,1
623,control,1,wat,65,8,2
623,control,1,wat,71,11,3
623,control,1,wat,91,13,4
623,control,1,wat,172,12,5
624,treatment,0,wat,40,6,0
624,treatment,0,sac,1639,39,1
624,treatment,0,wat,33,6,2
624,treatment,0,sac,1013,35,3
624,treatment,0,wat,7,1,4
624,treatment,0,sac,694,36,5
624,treatment,1,sac,564,30,0
624,treatment,1,wat,51,6,1
624,treatment,1,sac,1214,48,2
624,treatment,1,wat,35,6,3
624,treatment,1,sac,19,1,4
624,treatment,1,wat,34,6,5
625,control,0,wat,52,8,0
625,control,0,wat,167,15,1
625,control,0,wat,80,9,2
625,control,0,wat,70,11,3
625,control,0,wat,15,3,4
625,control,0,wat,36,6,5
625,control,1,wat,22,4,0
625,control,1,wat,30,4,1
625,control,1,wat,33,7,2
625,control,1,wat,57,6,3
625,control,1,wat,26,4,4
625,control,1,wat,67,10,5
627,treatment,0,sac,5,1,0
627,treatment,0,wat,32,3,1
627,treatment,0,sac,1153,46,2
627,treatment,0,wat,27,5,3
627,treatment,0,sac,1923,55,4
627,treatment,0,wat,56,8,5
627,treatment,1,sac,19,3,1
627,treatment,1,wat,51,7,2
627,treatment,1,sac,1516,70,3
627,treatment,1,wat,48,7,4
627,treatment,1,sac,2088,70,5
628,control,0,wat,11,2,0
628,control,0,wat,25,2,1
628,control,0,wat,47,8,2
628,control,0,wat,37,3,3
628,control,0,wat,16,2,4
628,control,0,wat,61,7,5
628,control,1,wat,2,0,0
628,control,1,wat,132,11,1
628,control,1,wat,96,13,2
628,control,1,wat,43,6,3
628,control,1,wat,43,8,4
628,control,1,wat,19,3,5
